month,monthly_mae,monthly_mape,monthly_rmse,actual_total,forecasted_total
2024-12,17056.617518556806,32.70173423154093,23563.506429147907,578787.11,399884.719477269
2025-01,12278.960492231328,49.084079122017464,15157.889983572566,1030949.46,962068.9729104986
2025-02,14235.97746973765,73.83634525860052,18550.56801893854,942256.3,859635.8315009609
2025-03,17640.913525494925,61.65854438385298,26050.474712473544,727727.6,616681.7269127755
